    45.0000     26.4795      1.0000      0.3750    -10.6340     -2.7925    193.1736   -443.3170   1 570
    75.0000     27.5929      6.8889      1.6861    -47.8110    -12.2440    202.6920   -449.9249  13 570
   105.0000     26.8127     18.0187      3.4893    -98.9433    -23.9516    203.4854   -445.2764  23 570
   135.0000     25.8674     27.7472      4.5926   -130.2312    -24.8657    204.1030   -439.6896  33 570
   165.0000     24.8854     38.2382      5.6470   -160.1283    -21.0312    206.5058   -433.9435  45 570
   195.0000     23.8806     53.6799      6.4345   -182.4584    -16.7936    210.8533   -428.1200  65 570
   225.0000     23.2151     78.7250      6.1645   -174.8029     -7.4234    219.3780   -424.2925  88 570
   255.0000     23.3081     88.8333      4.2707   -121.1026      0.1710    231.4661   -424.8221  89 570
   285.0000     24.3963     23.8500      3.1192    -88.4486     -2.5909    231.1417   -431.0939  24 570
   315.0000     26.0085     17.0569      1.8767    -53.2164     -8.1530    208.9781   -440.5140  18 570
   345.0000     27.4308     18.0000      1.3143    -37.2698     -9.4383    186.9010   -448.9506  18 570
   375.0000     28.6896     18.9556      0.9792    -27.7661     -7.4651    182.5195   -456.5187  19 570
    15.0000     29.7282     17.1577      0.8153    -23.1189     -6.1115    185.0253   -462.8309  18 570
    45.0000     30.7522     18.0000      0.7654    -21.7041     -5.5688    193.1736   -469.1257  18 570
    75.0000     31.3976     20.0958      3.0217    -85.6840    -21.2990    202.6920   -473.1310  24 570
   105.0000     29.5617     27.3861      5.4351   -154.1193    -37.7610    203.4854   -461.8402  31 570
   135.0000     27.5685     35.2236      6.0699   -172.1198    -35.6951    204.1030   -449.7896  39 570
   165.0000     25.9750     43.8958      6.6670   -189.0523    -28.4954    206.5058   -440.3286  49 570
   195.0000     24.6064     55.7382      7.1405   -202.4786    -21.8838    210.8533   -432.3221  63 570
   225.0000     23.6854     71.5833      6.6520   -188.6266    -10.4170    219.3780   -426.9913  77 570
   255.0000     23.5798     77.8924      4.8284   -136.9162     -1.0150    231.4661   -426.3805  78 570
   285.0000     24.4606     26.8514      3.1971    -90.6575     -2.8075    231.1417   -431.4667  27 570
   315.0000     26.0380     17.2958      1.8876    -53.5250     -8.2271    208.9781   -440.6877  18 570
   345.0000     27.4482     18.1917      1.3184    -37.3860     -9.4686    186.9010   -449.0542  19 570
   375.0000     28.7019     19.0000      0.9812    -27.8220     -7.4792    182.5195   -456.5930  19 570
    15.0000     29.7373     17.2202      0.8164    -23.1501     -6.1189    185.0253   -462.8864  18 570
    45.0000     30.7594     18.0000      0.7662    -21.7266     -5.5739    193.1736   -469.1704  18 570
    75.0000     31.4051     20.1944      3.0250    -85.7789    -21.3201    202.6920   -473.1782  24 570
